date,ticker,article_count,avg_prob_pos,avg_prob_neg,avg_prob_neu,pos_count,neg_count,pos_ratio
2021-12-10,FPT,1,0.05976860225200653,0.21702195703983307,0.7232094407081604,0,0,0.0
2021-12-13,BID,1,0.08059803396463394,0.03730190545320511,0.8821001052856445,0,0,0.0
2021-12-15,BID,1,0.0539194792509079,0.24294954538345337,0.7031309604644775,0,0,0.0
2021-12-15,FPT,1,0.0539194792509079,0.24294954538345337,0.7031309604644775,0,0,0.0
2021-12-21,BID,1,0.16856904327869415,0.04077455773949623,0.7906563878059387,0,0,0.0
2021-12-25,FPT,1,0.492196261882782,0.14472344517707825,0.36308032274246216,1,0,0.9999999989999999
2021-12-27,BID,1,0.48354464769363403,0.030180754140019417,0.4862746298313141,0,0,0.0
2021-12-31,BID,1,0.1427675485610962,0.0344172939658165,0.8228151798248291,0,0,0.0
2022-01-03,BID,1,0.674761176109314,0.05906030535697937,0.2661784887313843,1,0,0.9999999989999999
2022-01-04,FPT,1,0.05597129464149475,0.25038033723831177,0.6936482787132263,0,0,0.0
2022-01-12,BID,1,0.16755469143390656,0.04139717295765877,0.7910481095314026,0,0,0.0
2022-01-17,BID,1,0.020007478073239326,0.9051833152770996,0.07480922341346741,0,1,0.0
2022-01-19,BID,1,0.060810647904872894,0.060685042291879654,0.8785042762756348,0,0,0.0
2022-01-20,BID,1,0.22007541358470917,0.045347996056079865,0.7345766425132751,0,0,0.0
2022-01-21,BID,1,0.165594682097435,0.02728147991001606,0.8071238994598389,0,0,0.0
2022-01-24,FPT,1,0.01644544117152691,0.8919672966003418,0.09158725291490555,0,1,0.0
2022-01-25,BID,1,0.007566818501800299,0.9750193357467651,0.017413869500160217,0,1,0.0
2022-02-07,BID,1,0.11011193692684174,0.04777754843235016,0.8421105146408081,0,0,0.0
2022-02-07,FPT,1,0.11011193692684174,0.04777754843235016,0.8421105146408081,0,0,0.0
2022-02-09,BID,1,0.21820524334907532,0.20553159713745117,0.5762631893157959,0,0,0.0
2022-02-11,BID,1,0.008314990438520908,0.9658505320549011,0.02583455480635166,0,1,0.0
2022-02-15,BID,1,0.22170603275299072,0.029043057933449745,0.7492508888244629,0,0,0.0
2022-02-16,BID,1,0.09340305626392365,0.299866646528244,0.6067302823066711,0,0,0.0
2022-02-18,BID,1,0.1649072766304016,0.036846328526735306,0.7982463240623474,0,0,0.0
2022-02-23,BID,1,0.5243302583694458,0.0320998840034008,0.44356977939605713,1,0,0.9999999989999999
2022-03-02,BID,1,0.006547494325786829,0.9737159013748169,0.01973661594092846,0,1,0.0
2022-03-04,BID,1,0.12693791091442108,0.041172802448272705,0.8318892121315002,0,0,0.0
2022-03-07,BID,1,0.16921934485435486,0.07533867657184601,0.7554419636726379,0,0,0.0
2022-03-08,FPT,1,0.044520217925310135,0.5459586977958679,0.40952110290527344,0,1,0.0
2022-03-09,BID,1,0.06489540636539459,0.06479693949222565,0.8703076243400574,0,0,0.0
2022-03-09,FPT,1,0.06489540636539459,0.06479693949222565,0.8703076243400574,0,0,0.0
2022-03-10,BID,1,0.06463725119829178,0.11879942566156387,0.8165633082389832,0,0,0.0
2022-03-11,BID,1,0.004745659418404102,0.9830310344696045,0.012223230674862862,0,1,0.0
2022-03-16,BID,1,0.6847667098045349,0.020167900249361992,0.29506537318229675,1,0,0.9999999989999999
2022-03-16,FPT,1,0.06860519200563431,0.10978484898805618,0.8216099739074707,0,0,0.0
2022-03-17,BID,1,0.06206902489066124,0.2584850490093231,0.6794459223747253,0,0,0.0
2022-03-23,BID,1,0.07966320961713791,0.05963369086384773,0.8607031106948853,0,0,0.0
2022-03-29,BID,1,0.15114860236644745,0.04825103282928467,0.8006003499031067,0,0,0.0
2022-03-29,FPT,1,0.15114860236644745,0.04825103282928467,0.8006003499031067,0,0,0.0
2022-04-07,BID,1,0.9845215678215027,0.004235795699059963,0.011242708191275597,1,0,0.9999999989999999
2022-04-07,FPT,1,0.006796883884817362,0.9730690121650696,0.02013416774570942,0,1,0.0
2022-04-08,FPT,1,0.015433401800692081,0.9121212959289551,0.07244537770748138,0,1,0.0
2022-04-12,BID,1,0.05216469615697861,0.5825918912887573,0.36524340510368347,0,1,0.0
2022-04-12,FPT,1,0.05216469615697861,0.5825918912887573,0.36524340510368347,0,1,0.0
2022-04-13,FPT,1,0.14273624122142792,0.04218902438879013,0.8150747418403625,0,0,0.0
2022-04-18,BID,1,0.0067454115487635136,0.9728356599807739,0.02041885070502758,0,1,0.0
2022-04-18,FPT,1,0.0067454115487635136,0.9728356599807739,0.02041885070502758,0,1,0.0
2022-04-19,FPT,1,0.15023356676101685,0.05351822450757027,0.7962481379508972,0,0,0.0
2022-04-21,BID,1,0.018514437600970268,0.8849219679832458,0.0965636670589447,0,1,0.0
2022-04-22,FPT,1,0.08113043755292892,0.04421054199337959,0.87465900182724,0,0,0.0
